x,test,training
413,0.9490196078431373,0.9693877551020408
827,0.9864864864864865,0.9853321829163072
1240,0.9743589743589743,0.978409090909091
1653,0.9782016348773842,0.9786324786324786
2063,0.9795361527967258,0.9772413793103449
2475,0.9807692307692307,0.9799360279150916
2889,0.9807692307692307,0.9785025945144551
3301,0.9807692307692307,0.9776232891592439
3713,0.9807692307692307,0.9785672909828153
4127,0.9807692307692307,0.9785169785169786
