x,test,training
412,0.9389920424403183,1.0
825,0.9491978609625668,1.0
1238,0.9460916442048517,1.0
1650,0.9567567567567568,0.9995775242923532
2063,0.9558232931726909,0.999660210669385
2476,0.9690444145356663,0.9994292237442922
2888,0.9623655913978495,0.9995138551288284
3301,0.9609690444145357,0.9995733788395904
3714,0.9714285714285715,0.9996203492786636
4127,0.9702702702702702,0.999488839666042
