x,test,training
412,0.8796992481203008,1.0
825,0.8920863309352518,1.0
1238,0.8689655172413793,1.0
1650,0.891156462585034,0.9978586723768736
2063,0.9071428571428571,0.9983108108108109
2476,0.9305555555555556,0.9972413793103448
2888,0.916083916083916,0.9975961538461539
3301,0.9097222222222222,0.9979123173277662
3714,0.9144736842105263,0.9981498612395929
4127,0.9251700680272109,0.9974874371859297
