x,test,training
412,0.7959183673469388,1.0
825,0.8435374149659864,1.0
1238,0.8571428571428571,1.0
1650,0.891156462585034,1.0
2063,0.8639455782312925,1.0
2476,0.9115646258503401,1.0
2888,0.891156462585034,1.0
3301,0.891156462585034,1.0
3714,0.9455782312925171,1.0
4127,0.9251700680272109,1.0
