x,test,training
412,0.921875,1.0
825,0.9391534391534392,1.0
1238,0.9435483870967742,1.0
1650,0.9567567567567568,1.0
2063,0.946949602122016,1.0
2476,0.9651474530831099,1.0
2888,0.9572192513368984,1.0
3301,0.9571045576407506,1.0
3714,0.9780821917808219,1.0
4127,0.9702702702702702,1.0
