x,test,training
412,0.8994197292069632,1.0
825,0.9148936170212766,1.0
1238,0.9187620889748549,1.0
1650,0.9110251450676983,0.9993939393939394
2063,0.9090909090909091,0.9995152690256908
2476,0.9342359767891683,0.9995961227786753
2888,0.9129593810444874,0.9996537396121884
3301,0.9400386847195358,0.9996970614965162
3714,0.9439071566731141,0.9997307485191168
4127,0.9323017408123792,0.9995153864792827
