x,test,training
412,0.7822878228782288,0.8016528925619835
825,0.900709219858156,0.8706896551724138
1238,0.9142857142857143,0.897902097902098
1650,0.9103448275862069,0.904812834224599
2063,0.9209621993127148,0.9130074565037283
2476,0.9288135593220338,0.9313593539703903
2888,0.9355932203389831,0.9257485029940119
3301,0.952054794520548,0.9287571502860114
3714,0.952054794520548,0.9307657038055936
4127,0.9498327759197324,0.9399088271860754
